query,scores,doc_flags
Who owns the company that Lindsay Frimodt did a fashion show with in 2002 and 2003?,"[26.30592706  6.61997328 -0.69415366  8.00615446  0.91647818  7.12289896
 27.8603459   0.80620391  0.75920454  8.30071339]","['P', 'N', 'N', 'N', 'N', 'N', 'P', 'N', 'N', 'N']"
How many languages does the Dutch Caribbean-born professional baseball player speak who is noted for having hit a home run in the Major Leagues?,"[ -3.99901124  -1.45584837   1.4485054   -4.40025707  12.48933357
  -2.48597211  -3.08246943  -3.80998421  -4.44443305 125.109753  ]","['N', 'N', 'N', 'N', 'P', 'N', 'N', 'N', 'N', 'P']"
"American singer-songwriter Taylor Swift's career began with a record deal with Big Machine Records in 2005 and the release of her eponymous debut album the following year, all of its singles, including which song that was co-written by Swift and Liz Rose, and produced by Nathan Chapman, and was released on February 3, 2008 by Big Machine Records as the fourth single from Swift's eponymous studio album, ""Taylor Swift"" (2006)?","[2.56203712 1.25957504 1.33984902 1.26609093 1.52193898 2.45436443
 3.06228538 1.04368271 1.28218481 8.56102275]","['N', 'P', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'P']"
In what war did Werner Schröer and Hans-Joachim Marseille fly?,"[-2.07970157  8.56956669  7.42226853  5.87566599 -1.11394061 -7.30633733
 39.15146307 -3.82202726  0.52063591  5.9250591 ]","['N', 'P', 'N', 'N', 'N', 'N', 'P', 'N', 'N', 'N']"
Are the bands Hole and Cage9 both American alternative rock bands?,"[ 4.32942761 -0.83597797  1.53665239 -0.19617754  2.55743436  9.12586637
 -0.45383689 54.04196639 -0.93811381  8.62267037]","['N', 'N', 'N', 'N', 'N', 'P', 'N', 'P', 'N', 'N']"
When was the order to which Bertrand de Blanchefort was the sixth Grand Master founded? ,"[-0.7698997   1.6546959  -1.55146486 -0.01809589 -0.60857723 -2.06661559
 -3.02862496 14.64032167  7.06205427  0.35956984]","['N', 'N', 'N', 'N', 'N', 'N', 'N', 'P', 'P', 'N']"
Jake David Shapiro was best know for being the screenwriter of a film directed by who?,"[17.62970353  0.27047583  5.90611571 -0.73686512  0.34624927 -1.3364951
 -1.08836039  1.46061975  1.36615346  0.52377125]","['P', 'N', 'P', 'N', 'N', 'N', 'N', 'N', 'N', 'N']"
"What is the name of the 1980 American teen musical drama film directed by Alan Gore, which was remade in 2009 as an American musical drama film which follows the lives of students attending what is now known as Fiorello H. LaGuardia High School?","[ 2.64912343  0.43642576 -1.08652909 -1.02957016 23.65973631 -0.31848937
 -2.90848428 -5.58233638 -0.55496992  5.96244393]","['N', 'N', 'N', 'N', 'P', 'N', 'N', 'N', 'N', 'P']"
"Indra is a given name which occurs independently in Latvia, where it is feminine, and in which term used to represent the southern region of the Asian continent, which comprises the sub-Himalayan SAARC countries and, for some authorities, adjoining countries to the west and east?","[ 5.56591183 -0.76298697  6.20430912  2.12733072  8.29140066  2.72124497
  4.48261627  3.76497007  0.40177691 11.59994896]","['N', 'N', 'N', 'N', 'P', 'N', 'N', 'N', 'N', 'P']"
What 2002-2003 mini series that chronicled the American/Soviet space race featured one of the original 7 Project Mercury astronauts in an interview?,"[23.0746756  -1.14952538 -0.69997528 -0.95228545  2.64056324  1.26832442
 -2.00306613 -1.57527981 26.65928319  2.05035304]","['P', 'N', 'N', 'N', 'P', 'N', 'N', 'N', 'N', 'N']"
"Who wrote the 40th and final title in the regular series of Oz books, illustrated by Dick Martin in 1963?","[-1.37138442  6.47492969 -1.0815222   0.70677605 71.88330128 -0.3191586
  0.14385576 12.14176671 10.6313765  -6.79210791]","['N', 'P', 'N', 'N', 'P', 'N', 'N', 'N', 'N', 'N']"
"Which gambling tycoon of South China, that died in 1997, gave funds for the Buddhist Yip Kei Nam Memorial College?","[-9.04859080e-01 -2.38737440e+00 -1.61902428e-02 -1.09480538e+00
  1.12836722e+02 -6.70170669e+00  2.58808020e+01 -2.10590914e+00
 -5.30905599e+00 -8.88460536e-01]","['N', 'N', 'N', 'N', 'P', 'N', 'P', 'N', 'N', 'N']"
The Lords of Appellant were a group of nobles in the reign of a king that was born where?,"[-0.1483176  -0.34851937 -2.05900598  8.60643363  5.73960426  8.71540081
 -0.69949747 -2.60301702 -2.20906628 26.13611199]","['N', 'N', 'N', 'N', 'P', 'N', 'N', 'N', 'N', 'P']"
Yahya Abdul-Mateen II's 2017 starring movie role was directed by this individual?,"[-1.28823593 14.83254426  0.26701871 12.33363072  0.66469356 -0.91370631
 -1.83567181 -0.84195584  0.84507982  0.11614678]","['N', 'P', 'N', 'P', 'N', 'N', 'N', 'N', 'N', 'N']"
"What is the nationality of the actor who wrote, produced, and starred in ""Popstar: Never Stop Never Stopping"" ?","[ 1.05606652 -1.6094983  -2.20292932 -1.52061869 -2.11087542 -0.48244562
 17.08782166 -2.0229271   0.68427326 52.51369635]","['N', 'N', 'N', 'N', 'N', 'N', 'P', 'N', 'N', 'P']"
"What character did this actor, who also played a supporting role in Sleepy Hollow, play in the final six Harry Potter films?","[  6.40122956   6.63104392 123.88844437   3.37277766   2.08346604
  -2.90965444   5.35745992   4.21610227   7.14489975   8.89313415]","['N', 'P', 'N', 'N', 'N', 'P', 'N', 'N', 'N', 'N']"
"W. Davis ""Buzz"" Merritt Jr. was editor of a daily newspaper that was published in what state?","[-1.36341399 -0.70259769 -1.96888514 -0.0517346  -1.03290761  3.31615944
 16.57156471 -4.31348585 11.2239761   1.28346948]","['N', 'N', 'N', 'N', 'N', 'N', 'P', 'N', 'P', 'N']"
"Niki Juusela has commentary for what family of team sports that involve, to varying degrees, kicking a ball with the foot to score a goal","[ 0.12512787  0.40996629  1.14997293  0.11308044 -0.25698291 16.14091211
  4.25443345  0.91525531  8.75050296  5.93294886]","['N', 'N', 'N', 'N', 'N', 'P', 'N', 'N', 'P', 'N']"
"Jing Tian, is a Chinese actress, she is part of the cast for three Legendary Pictures films, including a prominent role in ""The Great Wall"", released in which year, a monster film directed by Zhang Yimou and written by Tony Gilroy, Doug Miro and Carlo Bernard?","[-0.86467767  1.28571653  6.59007014  0.53187058 -1.442164   -0.93726659
 -0.40425431 -0.11038565 -0.12661796  1.11834918]","['P', 'N', 'P', 'N', 'N', 'N', 'N', 'N', 'N', 'N']"
Martha Ellen Reeves got her masters at a university located in which US state ?,"[-8.53345470e-03 -4.62275691e+00  9.04734132e+00 -1.27126751e-01
  1.61360557e+01  5.61370392e-01 -1.12851568e-01  3.68152638e-01
  1.43299682e+00  3.78638826e-01]","['N', 'N', 'P', 'N', 'P', 'N', 'N', 'N', 'N', 'N']"
Iain Armitage's father was born in what year?,"[-1.40908751  0.15975789 -3.8811372  55.64124385  0.3207402  -2.18357932
  2.12527989 41.62747709  1.85771902  2.53282678]","['N', 'N', 'N', 'P', 'N', 'N', 'N', 'P', 'N', 'N']"
John Farleigh illustrated for an english novelist who was born when?,"[ 1.05008225 -8.0816194  -0.12171855 -5.02672038 -0.55396678  2.28463679
 -3.41197084 12.12949248  1.21185122 28.43820695]","['N', 'N', 'N', 'N', 'N', 'N', 'N', 'P', 'N', 'P']"
"Who was an Argentine politician and lawyer who acted as the President of Argentina between May 1, 1958, and March 29, 1962, and had an economic battle announced on 24 July 1958?","[ 5.39622816  3.0189224   4.06564976 -4.68739863 32.65390054  0.30664643
  2.46348859  1.5234228  70.71490304  3.85187698]","['N', 'N', 'N', 'N', 'P', 'N', 'N', 'N', 'P', 'N']"
The 9th AVN Awards were held at the hotel owned and operated by what company?,"[ 7.15512208  1.44867096  1.51050388  1.57528818  6.94537457 23.64264357
  2.15093583  7.14450698  0.36580675  0.13788483]","['N', 'N', 'N', 'N', 'P', 'P', 'N', 'N', 'N', 'N']"
The start of Marked Woman has appeared in how many films?,"[-1.43473226  6.39444846  1.58048255  8.49191288  0.56283925  5.26839672
 19.32753572  5.9435955  46.1461356  15.53164144]","['N', 'N', 'P', 'N', 'N', 'N', 'N', 'N', 'P', 'N']"
Spider is a 2007 Australian black comedy short film directed by a director who is a principal member of which movie-making collective ?,"[22.4366563  -1.24048082 -1.14551607 -0.19617568  0.47621537  0.5490949
 -1.04610662  0.67396168  1.168021   36.36341438]","['P', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'P']"
Eileen Caddy founded her award-winning experimental architectural community in what country?,"[-4.14774995 -3.19194579  3.28920846 -3.19108696 26.10996747 -1.81846189
 -4.4741575  80.17011964 -2.55395111 -1.95097558]","['N', 'N', 'P', 'N', 'N', 'N', 'N', 'P', 'N', 'N']"
Grand Anglo-Français Tricolore and and Kai Ken are breeds of what animal?,"[ 1.04295735  0.77206181  0.20304225  0.22712301  0.77030851 -1.3758807
  0.65336007  1.04129976  0.71166253  0.77800699]","['N', 'N', 'N', 'N', 'N', 'N', 'N', 'P', 'N', 'P']"
"How many times did this American actress and singer who appeared in 1982 action crime–drama film ""Fighting Back"" win a Grammy Award?","[ 4.51159211 -3.92793593 -5.97040891 -0.1015009   0.40613998 55.57657893
  5.93834635 -0.26985955 -2.01426007  2.03323663]","['N', 'N', 'N', 'N', 'N', 'P', 'P', 'N', 'N', 'N']"
Around what year was the political party of which Barbara Boggs Sigmund was a member founded?,"[ 0.44524389 -0.39747374  1.35009337  0.33720922  1.51238517 52.0101582
 -0.54594681  2.10093016 37.1338234   4.58883258]","['N', 'N', 'N', 'N', 'N', 'P', 'N', 'N', 'P', 'N']"
We're both Myles Kennedy and Buffalo Tom American?,"[12.10111576  2.10304413 13.61264929 23.75031834 -1.06963752  0.71511299
 32.36677681 65.02197962 -0.70798331  1.17740178]","['P', 'N', 'P', 'N', 'N', 'N', 'N', 'N', 'N', 'N']"
"Which tennis player, Andrei Olhovskiy or Hana Mandlíková, won four Grand Slam singles titles?","[-0.67946763 -0.13051245  0.83209077  1.58562111  1.67023458  1.2562201
  5.81186807  1.87077424  2.00296894  6.76639926]","['N', 'N', 'N', 'N', 'N', 'N', 'P', 'N', 'N', 'P']"
What is the birthdate of the commissioner of the Epic Poker League?,"[10.61265612 -0.59077016  2.00115483 17.5555995  -0.51498005 -2.84917887
 -1.82954766 -1.10581025  4.39688563 -2.78438369]","['P', 'N', 'N', 'P', 'N', 'N', 'N', 'N', 'N', 'N']"
"Which airport is in Georgia, St. Pete–Clearwater International Airport or Augusta Regional Airport?  ","[-0.65065187 -1.58012478 28.44786054 -0.56346953  0.83593892 -0.28307392
 -1.57525374 -4.05439797 -0.61335015 -1.73244418]","['N', 'N', 'P', 'N', 'N', 'N', 'N', 'P', 'N', 'N']"
"Szerencsejáték Zrt., is the largest gambling service provider in which country, it operates seven number draw games, including Keno?","[-0.17049553  0.12556617  0.28185563  0.04646989  0.24145698  0.28653467
  0.43536365 -0.50111165  0.12231606 -0.99990123]","['N', 'N', 'P', 'N', 'N', 'N', 'N', 'N', 'N', 'P']"
"What actor had roles in both ""Good Luck Charlie"" and the 2011 American direct-to-DVD film starring Ashley Tisdale?","[-4.38547139 -6.12611359  0.61058179  1.03780023 70.32137108  1.06858448
 16.80805066  3.86133961  3.08129917  1.0828771 ]","['N', 'N', 'N', 'N', 'P', 'N', 'P', 'N', 'N', 'N']"
Tenebrous is a fictional character appearing as an enemy of a character created by who ?,"[ 36.28199692   9.76484285 110.85755128  -3.69753161   3.65643871
   2.01692704   3.65059284   0.29896567   2.50832908   8.37271888]","['N', 'P', 'N', 'P', 'N', 'N', 'N', 'N', 'N', 'N']"
The 37th season of the VCU Rams men's basketball team was headed by a coach that played for what university?,"[ 2.15724992  1.53701415 31.61447152 -0.69671788  0.51764232 20.43918252
  1.88158613  1.50112226  2.57739502  4.43823238]","['N', 'N', 'P', 'N', 'N', 'P', 'N', 'N', 'N', 'N']"
What was the state of residence of the president who oversaw the Commission on Equal Opportunity that Maurice Davis served on?,"[10.32131052  1.41591352  2.30927926  0.57313626  2.18723165  0.06812798
  0.64049073  1.85867452 33.41285597  6.27820329]","['P', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'P', 'N']"
which  British historical thriller film directed by Alfred Hitchcock did Margaret Leighton appeared in?,"[-2.70009465 11.05953231  1.55753497  1.86822059 33.20191918  1.60497017
  1.83259469  3.57729889  2.55545001 30.3263362 ]","['P', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'P']"
Which one of Stewart Reburn's figure skating partners won more Olympic and World titles than any other ladies' figure skater?,"[ 1.74952792  0.95664409  1.23628639 23.98112555  1.24322889  3.66981293
  4.40766258 28.94317222  0.60537685 -0.48181943]","['N', 'N', 'N', 'P', 'N', 'N', 'N', 'P', 'N', 'N']"
Which musician involved in Christmas in Vienna VI died because of congestive heart failure?,"[-0.83390074  1.83012146  0.833616   -0.5899376  43.87247695 42.90261191
  4.25933744  0.16064307  2.76844825  1.3637105 ]","['N', 'N', 'N', 'N', 'P', 'P', 'N', 'N', 'N', 'N']"
"Wingaersheek Beach is located in the neighborhood of West Gloucester, a part of which Massachusetts city?","[-8.14527113e-01  6.29039464e+00 -6.81980755e-04  5.19974987e-02
 -4.36796610e-01 -2.76937599e+00 -3.45943031e-01 -2.37031370e-01
 -3.53510812e-01  3.39550698e+00]","['N', 'P', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'P']"
"Where is the American film and television production company best known for creating and producing the ""Star Wars"" based in, that also has a publishing initiative that connects the ""Star Wars"" sequel films with previous film installments in the franchise ?","[29.84391907  4.48187512  4.0219067   0.22406827 -0.77295532  0.45809354
 -1.5166745   1.07382893 -0.73580015  1.63500471]","['P', 'N', 'P', 'N', 'N', 'N', 'N', 'N', 'N', 'N']"
Ted Knight played the role of Ted Baxer is a sitcom that aired on what network?,"[ 1.53650212  4.10850202  1.07873329  1.22872802 -5.42294822  8.03371666
  1.61227783  0.08752326  6.70981464  2.45432095]","['N', 'P', 'N', 'N', 'N', 'N', 'N', 'N', 'P', 'N']"
Cacareco inspired which party in Canada that lasted from the 1960s to the 1990s?,"[-3.75636244  0.39682471  2.358355   -0.60767871 11.99950804  0.72263842
  0.44746855 26.3185825  -0.74186379  2.24937474]","['N', 'N', 'N', 'N', 'P', 'N', 'N', 'P', 'N', 'N']"
Are the Rahmi M. Koç Museum and the Milion located in the same country?,"[-0.80621933 -0.10527726  7.353747   -2.16336356 -6.31825684 -1.16833445
 39.98545735 -0.2804456   0.73032866  4.11881864]","['N', 'N', 'P', 'N', 'N', 'N', 'P', 'N', 'N', 'N']"
Durban Qalandars is owned by the businessman who owns what other Pakistan Super League franchise?,"[35.17366463 -2.24267229 -2.73271509 -2.15665626 14.10484727 -1.30590058
 -0.55604863 -1.05074522  0.42970716 -1.98649764]","['N', 'N', 'N', 'N', 'P', 'N', 'N', 'P', 'N', 'N']"
"Which writer won the Pulitzer Prize, David Mamet or Haruki Murakami?","[ 1.90656792  1.84918776  1.47918112  2.84487776  2.38346611  3.25136679
  3.91535567 22.77255147  3.84187119  2.76352403]","['N', 'N', 'N', 'N', 'N', 'P', 'N', 'P', 'N', 'N']"
"Both Zorro and Monkeys, Go Home! are produced by which company?","[ 5.0288055  23.10769105 22.61761828  9.08168265  4.32397654  5.01059407
  3.67810723  4.02141328  6.08790872  4.00943062]","['N', 'P', 'P', 'N', 'N', 'N', 'N', 'N', 'N', 'N']"
"Sherilyn Fenn, who stars in the 2002 crime thriller film ""Swindle,"" was nominated for both a Golden Globe Award and an Emmy Award for her performance on which TV series?","[36.79661622  2.48881022  1.98386992  6.11856062  5.26897789  4.72404962
  6.28784982 -1.08494225  9.1758869  12.82622804]","['P', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'P', 'N']"
"ACES II is an ejection seat system manufactured by the United Technologies Aerospace Systems (UTAS) division of the United Technologies Corporation (UTC), it is used in the Lockheed F-117 Nighthawk, a single-seat, twin-engine stealth attack aircraft that was developed by Lockheed's secretive Skunk Works division and operated by which organization?","[ 5.41454103 16.00666242  2.00573806 -2.73602621 -3.65707619  3.43423525
 -2.63551424  0.68284715 -1.11378269  5.67625342]","['N', 'P', 'P', 'N', 'N', 'N', 'N', 'N', 'N', 'N']"
"Ex parte Milligan and Loving v. Virginia, are cases regarding which organization?","[ 1.47449837  2.41482611  0.14020237 -0.45025064  0.21574615  4.63893757
 21.23936693  4.11707054 -0.68991887  4.68504774]","['N', 'P', 'P', 'N', 'N', 'N', 'N', 'N', 'N', 'N']"
"Which magazine is published more frequently, Cook's Illustrated or Guitar World?","[-1.63168446 -1.76255516  4.30775184 -1.14284496 -2.6918122  -1.92862136
 -2.36712721 31.83178763 -0.91115035  1.70274274]","['N', 'N', 'P', 'N', 'N', 'N', 'N', 'P', 'N', 'N']"
What country of origin does Brad Hazzard and Government of New South Wales have in common?,"[ 1.29286908  2.35922713  0.20464044  2.51234384 -1.4456151   7.22008845
  2.68215686  1.84901966  2.52101801  6.45911976]","['N', 'N', 'N', 'N', 'N', 'P', 'N', 'N', 'P', 'N']"
A star of “Angel Eyes” also starred in what television drama in 2007?,"[15.00777176 -3.97986959 -2.13998323  1.12135132 -2.49282738 -4.68355361
  1.20858531 12.35929793  1.34982118 85.13859507]","['P', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'P']"
"Which is a type of vine, Maytenus or Dactylorhiza?","[ 3.37433319  1.2701895   1.89075938  4.61893017 -3.08184887 -0.72163033
 -0.78076999 -1.35599746 -0.10791791 -1.53565888]","['N', 'N', 'P', 'N', 'P', 'N', 'N', 'N', 'N', 'N']"
When was the former American football running back which Larry Johnson was his father born ,"[ 3.11823065  3.82191829  4.14835205  0.75496745 53.21484634  1.03207149
  3.31468165 13.44369294  1.1641321  -0.37105869]","['N', 'N', 'N', 'N', 'P', 'N', 'N', 'P', 'N', 'N']"
The Chamber of Horrors is a 1929 British silent horror film based from one of the attractions in London owned by whom?,"[-0.83340292  1.34597081  3.9863716  -0.38564006  0.16744978 17.93590761
 -1.355733   -1.10769163 -0.74258357 -1.42777049]","['N', 'N', 'P', 'N', 'N', 'P', 'N', 'N', 'N', 'N']"
On what day of what month was the artist born who painted Portrait of Anne?,"[29.52619928 -2.45412022  1.35723261 -4.02434445 -6.29095101 -1.12165713
 -1.50357644 -3.07000336 34.35190964 -1.70985976]","['P', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'P', 'N']"
"Which creator of ""Absolutely Fabulous"" has also won three BAFTAs?","[-1.22884872  3.01039345  0.60291477 -0.46527162 -0.08162285  0.81006166
  1.54619171  1.21265723 26.50468563  1.89938693]","['N', 'N', 'N', 'P', 'N', 'N', 'N', 'N', 'P', 'N']"
"Which was created first, Jenůfa or Dafne?","[ 3.68446135e+00  2.43151963e-01 -1.10216653e+00  2.67627050e-03
  1.49415312e+00  4.95946104e+01 -1.44692591e+00  1.87290446e+00
  2.43284112e+00  7.33068590e+01]","['N', 'N', 'N', 'N', 'N', 'P', 'N', 'N', 'N', 'P']"
What Australian actor/filmmaker played a former FBI agent convicted of murder charges stemming from his relationship with the Winter Hill Gang?,"[ 1.77689126 27.58122587 -0.74021037  4.51025591 31.83005907 14.59227374
  0.84282803  1.79450309 -0.86501748  1.97260104]","['N', 'P', 'N', 'N', 'P', 'N', 'N', 'N', 'N', 'N']"
Which ore did the Kemess Mine have that the Leckie Mine did not.,"[-0.73029589  5.12488337 15.57737475  4.10089752  1.47857857  0.16687694
 -0.33986902 -1.8363162  -1.43591029 -0.6029954 ]","['N', 'N', 'P', 'N', 'N', 'N', 'N', 'P', 'N', 'N']"
"Who, Ben Agajanian or Marco Khan, is an Armenian-American film and television actor and also a stuntman?","[ 9.27606572  2.53141098  2.95124939 -1.26812233  1.83931933  1.39973581
 -0.69014432 10.85922542  0.94242204 87.83301894]","['P', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'P']"
"Who was married to Michael Aris and was the first woman to serve as Minister for Foreign Affairs, for the President's Office, for electric Power and Energy, and for Education?","[-1.5406334   0.16247062 -1.08245977  0.59198506  3.62860264  6.5182095
 17.15678852 -1.68919119  0.18337448 -0.65467328]","['N', 'N', 'N', 'N', 'N', 'P', 'P', 'N', 'N', 'N']"
"Hamskifte used to be in which danish band whose compositions featured in Twilight, Miami Vice and on TV shows like and The Vampire Diaries?","[ 3.34035198  1.72987045  1.75597257 -0.72846302 42.40357482 26.12101387
  0.19557927  3.15206645 -0.5579101   1.74897735]","['N', 'N', 'N', 'N', 'P', 'P', 'N', 'N', 'N', 'N']"
Which band has more members; Broken Bells or Redd Kross?,"[79.10982089  2.24449636 16.20166129  2.63161192  2.61008873  0.32026028
 21.15995951 49.71110992  1.05818989 16.09308289]","['P', 'N', 'N', 'N', 'N', 'N', 'N', 'P', 'N', 'N']"
"Which film, directed by Paul King, features the twelfth Doctor from Doctor Who?","[-1.40711133  1.53381552  0.89689721  5.37507816 14.27665956  0.62608199
  0.20719639  0.13726099  1.21711902  0.30359223]","['N', 'N', 'N', 'P', 'P', 'N', 'N', 'N', 'N', 'N']"
What state does Round Table Pizza and Peter Piper Pizza have in common?,"[ 7.08601752 47.8752805  85.10995835 -5.27034562 -1.43873806 -1.11833199
 -1.8486001   0.53229583 -0.63392542  2.39703994]","['N', 'P', 'P', 'N', 'N', 'N', 'N', 'N', 'N', 'N']"
In what year did the representative who introduced Carlie's Law to the United States Congress lose her campaign?,"[ 1.63494639 -0.69691719 -0.1411958   5.50604432 44.49700011  1.56350011
 -3.43082358 -0.9766849  -1.9266665  -2.14493825]","['N', 'N', 'N', 'P', 'P', 'N', 'N', 'N', 'N', 'N']"
When was the electoral division represented by Linda Jean Burney  created?,"[-4.93894417 -2.42590343 -2.66564474 29.2736629  -0.66782327 17.86862881
  4.12610199  1.987504   -3.84613683  4.01772267]","['N', 'N', 'N', 'P', 'N', 'P', 'N', 'N', 'N', 'N']"
"Mutual aid is an intrinsic part of small, communal societies and contrasts with what body of thought?","[ -0.85883918  -7.84888416  -0.7899111    1.24387188  56.51978469
  -4.43697837  -2.36738004   0.5241737   -5.79869606 -10.08819192]","['N', 'N', 'N', 'N', 'P', 'P', 'N', 'N', 'N', 'N']"
Jason Pramas curated the show that popularized the slogan in response to what 2013 event?,"[-4.23417508e+00 -7.93146106e+00  1.76231960e-02  3.61167491e+01
  3.00112141e+00 -5.71141551e+00 -4.02550861e+00  1.05418634e+02
 -5.15829094e+00  2.35061428e+00]","['N', 'N', 'N', 'P', 'N', 'N', 'N', 'P', 'N', 'N']"
"Which movie featuring ""Come Go with Me"" also starred River Phoenix?","[18.62498236  2.08224795  2.85788965 64.04309549 -3.70027128 -1.98750678
 -1.27179894  0.26850625 -2.06410335  8.51884585]","['P', 'N', 'N', 'P', 'N', 'N', 'N', 'N', 'N', 'N']"
What is the 2010 population of the city in which John Adams School is located within?,"[18.91809328 -0.17633548 -8.15365147  8.93081989  1.74503627  0.49441609
 -0.81062072 32.30379844  2.13227056  3.68590104]","['P', 'N', 'N', 'N', 'N', 'N', 'N', 'P', 'N', 'N']"
Joe Dallesandro was a crossover star like the crime boss who established the first of what body?,"[  1.11352538  49.32718603  -1.84853684   1.57699171   1.00629416
   0.13359042 -10.71424406   0.67269162  -0.26132125  -0.69922949]","['P', 'P', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N']"
What was the nickname of the terrorist who was spared the death penalty by his criminal defense attorney Judy Clare Clarke?,"[ 3.20501029  7.4334577   2.55925908 52.82435384  2.75609275  2.647537
  5.07103915 17.08133895  3.42025329 17.73710871]","['N', 'N', 'N', 'P', 'N', 'N', 'N', 'P', 'N', 'N']"
Whose biography was the basis of the film for which John W. Corso was nominated for an Academy Award in Best Art Direction?,"[ 6.46533689  4.94443965 11.19538135  4.06302797 24.42777373  4.92897858
  3.45854964  5.81552577  5.01477594  1.81008516]","['N', 'N', 'P', 'N', 'P', 'N', 'N', 'N', 'N', 'N']"
"What's the birth year of the general who saw St. Clair Streett as his own personal ""troubleshooter""? ","[-0.207251   -1.32935513 -1.38416093 -1.2045282   8.02176195 -4.84117387
 -1.919499   30.97938438 -4.58453477  0.41559593]","['N', 'N', 'N', 'N', 'P', 'N', 'N', 'P', 'N', 'N']"
"What are ""Firewater"" Ecuadorian rums made from? ","[137.81477343   6.65315574   7.09237103   3.94914594   2.27672076
  -4.88277167  12.07116142  -5.75684352  -4.57772102  62.74482692]","['P', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'P']"
"In what year did the man who founded Newark Castle, Nottinghamshire, die?","[-0.04988191  3.67797274  3.67797274  1.20138398  4.05005819 -3.15393071
 35.09314743  3.89680185 34.46675021 -0.84186479]","['N', 'N', 'N', 'N', 'N', 'N', 'P', 'N', 'P', 'N']"
Are the headquarters of Mellow Mushroom and Gatti's Pizza in the same city?,"[ 0.23049142 12.22613587 -1.88421636 -2.04212362 -1.14614674 -1.11559293
 -0.76674645 22.56931139 -1.91113152  3.74568528]","['N', 'P', 'N', 'N', 'N', 'N', 'N', 'P', 'N', 'N']"
